"Что изучает наука биология?","Биология изучает живые организмы, их строение, функции, происхождение и развитие."
"Что является основной единицей жизни?","Клетка считается основной единицей жизни."
"Какие две основные группы клеток существуют?","Существуют прокариотические и эукариотические клетки."
"Чем отличается прокариотическая клетка от эукариотической?","Прокариоты не имеют оформленного ядра и мембранных органоидов, тогда как эукариоты имеют ядро и сложную систему мембранных структур."
"Как называется оболочка, которая окружает клетку и регулирует обмен веществ?","Это клеточная мембрана."
"Какие органоиды присутствуют в эукариотической клетке?","Ядро, митохондрии, эндоплазматическая сеть, комплекс Гольджи, лизосомы, хлоропласты (у растений)."
"Что такое хлоропласты?","Хлоропласты – органоиды растительных клеток, в которых происходит фотосинтез."
"Какой процесс обеспечивает зеленым растениям производство органического вещества из неорганического?","Фотосинтез."
"Какие продукты образуются в процессе фотосинтеза?","Глюкоза и кислород."
"Что такое митохондрии?","Митохондрии – органоиды эукариот, в которых происходит клеточное дыхание и выработка АТФ."
"Что такое АТФ?","АТФ (аденозинтрифосфат) – универсальный источник энергии в клетках."
"Какие три основные компонента входят в состав клетки?","Плазматическая мембрана, цитоплазма и ядро (у эукариот)."
"Что такое цитоплазма?","Цитоплазма – полужидкое содержимое клетки, в котором находятся органоиды."
"Каков основной материал наследственности у живых организмов?","ДНК (дезоксирибонуклеиновая кислота)."
"Какие компоненты входят в состав нуклеотида ДНК?","Азотистое основание (A, T, G, C), сахар (дезоксирибоза) и фосфатная группа."
"Что такое геном?","Геном – полный набор генетической информации организма."
"Что такое ген?","Ген – участок ДНК, несущий информацию о синтезе определенного белка или РНК."
"Какая основная функция белков в клетке?","Белки выполняют структурные, ферментативные, транспортные, сигнальные и многие другие функции."
"Что такое ферменты?","Ферменты – это белки, ускоряющие химические реакции в клетке."
"Какие элементы входят в состав живых организмов в наибольшем количестве?","Углерод, водород, кислород и азот."
"Что такое диффузия?","Диффузия – процесс самопроизвольного перемещения молекул из области с более высокой концентрацией в область с более низкой."
"Что такое осмос?","Осмос – диффузия воды через полупроницаемую мембрану."
"Что такое биосинтез белка?","Биосинтез белка – процесс трансляции генетической информации из мРНК в цепочку аминокислот, образующую белок."
"Что такое трансляция?","Трансляция – сборка белка на рибосоме по информации, закодированной в мРНК."
"Что такое репликация ДНК?","Репликация – процесс удвоения молекулы ДНК перед делением клетки."
"Какие существуют типы размножения у организмов?","Бесполое и половое размножение."
"Что такое митоз?","Митоз – тип деления эукариотической клетки, при котором образуются две идентичные дочерние клетки."
"Что такое мейоз?","Мейоз – тип деления клеток, при котором число хромосом уменьшается вдвое, образуя половые клетки (гаметы)."
"Какую роль играют половые клетки?","Половые клетки (гаметы) обеспечивают передачу генетического материала от родителей потомству."
"Что такое зигота?","Зигота – клетка, образующаяся при слиянии сперматозоида и яйцеклетки."
"Какие основные царства живых организмов выделяют в современной системе классификации?","Бактерии, Археи, Грибы, Растения и Животные."
"Что такое таксономия?","Таксономия – наука о классификации и систематизации организмов."
"На какие уровни делится биологическая классификация?","Домен, царство, тип (отдел у растений), класс, отряд, семейство, род, вид."
"Что такое вид?","Вид – основная единица классификации, группа особей, способных скрещиваться и давать плодовитое потомство."
"Какие признаки указывают на родство между видами?","Сходство в морфологии, физиологии, генетике, сходные последовательности ДНК и белков."
"Что такое эволюция?","Эволюция – процесс постепенного изменения и приспособления живых организмов к окружающей среде."
"Какие механизмы лежат в основе эволюционных изменений?","Мутации, естественный отбор, миграции и дрейф генов."
"Что такое мутация?","Мутация – изменение последовательности ДНК, которое может изменить признаки организма."
"Что такое естественный отбор?","Естественный отбор – процесс, при котором особи с полезными для выживания признаками имеют больше шансов оставить потомство."
"Что такое адаптация?","Адаптация – эволюционное приспособление организма к условиям окружающей среды."
"Какие уровни организации жизни выделяют?","Молекулярный, клеточный, тканевой, органный, организменный, популяционно-видовой, экосистемный, биосферный."
"Что такое популяция?","Популяция – группа особей одного вида, занимающая определенную территорию и свободно скрещивающаяся между собой."
"Что такое экосистема?","Экосистема – совокупность живых организмов и их среды обитания, находящихся во взаимодействии."
"Что такое биосфера?","Биосфера – область Земли, заселенная живыми организмами и включающая все экосистемы."
"Что такое пищевые цепи?","Пищевые цепи – последовательности организмов, в которых каждый предыдущий служит пищей для следующего."
"Что такое биоразнообразие?","Биоразнообразие – разнообразие видов, экосистем и генетических ресурсов на планете."
"Какие факторы влияют на распространение живых организмов?","Климат, доступ к пище и воде, особенности рельефа, конкуренция и хищничество."
"Что изучает физиология?","Физиология изучает функции живых организмов и их органов, механизм жизнедеятельности."
"Что такое гомеостаз?","Гомеостаз – поддержание постоянства внутренней среды организма."
"Как называется наука о наследственности и изменчивости?","Генетика."
"Что такое фенотип и генотип?","Генотип – совокупность всех генов организма, фенотип – совокупность его внешних и внутренних признаков."
"Что такое биосфера в целом?","Биосфера – глобальная экосистема Земли, включающая все живые существа и среды их обитания."
"Почему изучение общей биологии важно?","Оно помогает понять принципы жизни, эволюции, взаимодействия организмов и среды, необходимые для сохранения биоразнообразия и решения экологических проблем."
